Name,M,Runs,Avg,SR,100,50,4s,6s,Wkts,Econ,5W,10W,Type,Image,Score_x,Score_y,Score
David Wiese,15,127,31.75,141.11,0,0,12,4,16,8.68,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244626/david-wiese.jpg,257.0,744.0,20.93555773634282
Mahipal Lomror,18,267,20.54,128.37,0,0,15,13,1,7.67,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226541/mahipal-lomror.jpg,215.0,0.0,5.233889434085705
Daniel Sams,16,44,4.89,100.0,0,0,1,3,14,8.72,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c180315/daniel-sams.jpg,178.0,159.5,7.396140006542362
Rishi Dhawan,32,190,21.11,108.57,0,0,17,6,24,7.93,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c151723/rishi-dhawan.jpg,389.5,5.5,9.9084069349035
Piyush Chawla,165,584,11.68,111.03,0,0,54,18,157,7.88,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c152613/piyush-chawla.jpg,2029.0,40.0,53.490350016355904
Shivam Mavi,32,51,5.67,91.07,0,0,4,2,30,8.71,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c155147/shivam-mavi.jpg,339.5,104.0,10.533202486097482
Hrithik Shokeen,5,43,21.5,89.58,0,0,5,0,2,8.47,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c182026/hrithik-shokeen.jpg,49.0,0.0,0.8897612037945698
Ripal Patel,4,31,15.5,103.33,0,0,3,1,0,7.33,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226523/ripal-patel.jpg,29.5,0.0,0.3794569839712136
Anukul Roy,3,0,0.0,0.0,0,0,0,0,2,7.33,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c153915/anukul-roy.jpg,15.0,0.0,0.0
Ayush Badoni,13,161,20.12,123.85,0,1,11,7,2,5.5,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c182026/ayush-badoni.jpg,146.0,0.0,3.4281975793261363
Krishnappa Gowtham,28,186,13.29,167.57,0,0,13,12,18,8.26,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c156045/krishnappa-gowtham.jpg,345.0,0.0,8.635917566241414
Kumar Kartikeya,4,3,3.0,60.0,0,0,0,0,5,7.85,0,0,All Rounder,https://www.cricbuzz.com/a/img/v1/152x152/i1/c182026/kumar-kartikeya.jpg,51.5,0.0,0.9551848217206411
